Year,Age,Gender,Educational Attainment,Personal Income,Population Count
2001/1/9 0:00,65 to 80+,Female,No high school diploma,"D: 15,000 to 24,999",64958
2001/1/9 0:00,65 to 80+,Female,Bachelor's degree or higher,"F: 35,000 to 49,999",68234
2001/1/9 0:00,65 to 80+,Male,"College, less than 4-yr degree","F: 35,000 to 49,999",69546
2001/1/9 0:00,18 to 64,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",70367
2001/1/9 0:00,65 to 80+,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",70495
2001/1/9 0:00,65 to 80+,Male,High school or equivalent,"C: 10,000 to 14,999",71193
2001/1/9 0:00,65 to 80+,Male,No high school diploma,"B: 5,000 to 9,999",71415
2001/1/9 0:00,65 to 80+,Male,No high school diploma,"D: 15,000 to 24,999",72908
2001/1/9 0:00,65 to 80+,Female,No high school diploma,"A: 0 to 4,999",73024
2001/1/9 0:00,65 to 80+,Female,"College, less than 4-yr degree","B: 5,000 to 9,999",75617
2001/1/9 0:00,65 to 80+,Male,Bachelor's degree or higher,"E: 25,000 to 34,999",76215
2001/1/9 0:00,65 to 80+,Male,Bachelor's degree or higher,"F: 35,000 to 49,999",77792
2001/1/9 0:00,18 to 64,Male,No high school diploma,"G: 50,000 to 74,999",79922
2001/1/9 0:00,65 to 80+,Female,"College, less than 4-yr degree","E: 25,000 to 34,999",81764
2001/1/9 0:00,18 to 64,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",84122
2001/1/9 0:00,65 to 80+,Female,Bachelor's degree or higher,"D: 15,000 to 24,999",85667
2001/1/9 0:00,18 to 64,Female,No high school diploma,"E: 25,000 to 34,999",86580
2001/1/9 0:00,18 to 64,Male,Bachelor's degree or higher,"A: 0 to 4,999",88688
2001/1/9 0:00,65 to 80+,Male,"College, less than 4-yr degree","D: 15,000 to 24,999",88779
2001/1/9 0:00,65 to 80+,Female,"College, less than 4-yr degree","C: 10,000 to 14,999",89119
2001/1/9 0:00,65 to 80+,Male,No high school diploma,"C: 10,000 to 14,999",98666
2001/1/9 0:00,65 to 80+,Male,Bachelor's degree or higher,"G: 50,000 to 74,999",109490
2001/1/9 0:00,65 to 80+,Female,High school or equivalent,"B: 5,000 to 9,999",116176
2001/1/9 0:00,18 to 64,Female,High school or equivalent,"G: 50,000 to 74,999",134763
2001/1/9 0:00,18 to 64,Female,Bachelor's degree or higher,"C: 10,000 to 14,999",136360
2001/1/9 0:00,65 to 80+,Female,"College, less than 4-yr degree","D: 15,000 to 24,999",140082
2001/1/9 0:00,65 to 80+,Female,No high school diploma,"C: 10,000 to 14,999",149933
2001/1/9 0:00,65 to 80+,Female,High school or equivalent,"C: 10,000 to 14,999",151357
2001/1/9 0:00,65 to 80+,Female,High school or equivalent,"D: 15,000 to 24,999",152036
2001/1/9 0:00,18 to 64,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",160748
2001/1/9 0:00,65 to 80+,Female,No high school diploma,"B: 5,000 to 9,999",178289
2001/1/9 0:00,18 to 64,Male,High school or equivalent,"H: 75,000 and over",190948
2001/1/9 0:00,18 to 64,Female,"College, less than 4-yr degree","H: 75,000 and over",200198
2001/1/9 0:00,18 to 64,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",201713
2001/1/9 0:00,18 to 64,Male,"College, less than 4-yr degree","A: 0 to 4,999",212039
